 #c	ExpEi_LogXRo_positiveRoot	ExpEi_LogXRo_conjugateRoot

1	7.9542111696762863e-01 +I* -3.1777307524726872e+00	7.9542111696762863e-01 +I* 3.1777307524726872e+00
2	3.6908162192773020e-01 +I* -3.5547852907411919e+00	3.6908162192773020e-01 +I* 3.5547852907411919e+00
3	3.9777235482522377e-01 +I* 1.1329697420381359e+00	3.9777235482522377e-01 +I* -1.1329697420381359e+00
4	6.8002694817819098e-01 +I* -3.3525575630269038e+00	6.8002694817819098e-01 +I* 3.3525575630269038e+00
5	6.2705345418187086e-01 +I* -1.6630234689228540e+00	6.2705345418187086e-01 +I* 1.6630234689228540e+00
6	2.2604237908375591e-01 +I* -3.5744421936276320e+00	2.2604237908375591e-01 +I* 3.5744421936276320e+00
7	7.3344870178729982e-01 +I* -1.9226843204636781e+00	7.3344870178729982e-01 +I* 1.9226843204636781e+00
8	8.6315560514000356e-01 +I* 2.9939777599200705e+00	8.6315560514000356e-01 +I* -2.9939777599200705e+00
9	8.1137254470738085e-01 +I* -2.1498510578541601e+00	8.1137254470738085e-01 +I* 2.1498510578541601e+00
10	1.7107982675930508e-01 +I* -3.4082821901841481e-01	1.7107982675930508e-01 +I* 3.4082821901841481e-01
11	6.3119145663366250e-01 +I* 3.4034936641375317e+00	6.3119145663366250e-01 +I* -3.4034936641375317e+00
12	8.6311852392496180e-01 +I* -2.3522645719044784e+00	8.6311852392496180e-01 +I* 2.3522645719044784e+00
13	8.9977539016103814e-01 +I* 2.7155285780332972e+00	8.9977539016103814e-01 +I* -2.7155285780332972e+00
14	6.9670311176154132e-01 +I* 3.3327212344594024e+00	6.9670311176154132e-01 +I* -3.3327212344594024e+00
15	4.3787503707249209e-01 +I* -1.2299319371395103e+00	4.3787503707249209e-01 +I* 1.2299319371395103e+00
16	8.9346814677604980e-01 +I* 2.5527813202683127e+00	8.9346814677604980e-01 +I* -2.5527813202683127e+00
17	3.8833449915471774e-01 +I* 3.5490740329774924e+00	3.8833449915471774e-01 +I* -3.5490740329774924e+00
18	8.9996946897795460e-01 +I* -2.6989474459585052e+00	8.9996946897795460e-01 +I* 2.6989474459585052e+00
19	8.6721624016511034e-01 +I* 2.3726043093799416e+00	8.6721624016511034e-01 +I* -2.3726043093799416e+00
20	4.6198302465413038e-01 +I* 3.5201386597408195e+00	4.6198302465413038e-01 +I* -3.5201386597408195e+00
21	6.3841058969484654e-01 +I* -3.3965698189715652e+00	6.3841058969484654e-01 +I* 3.3965698189715652e+00
22	1.7962379993257513e-01 +I* 3.9669683349697171e-01	1.7962379993257513e-01 +I* -3.9669683349697171e-01
23	8.5041130566898193e-01 +I* 3.0388571574620435e+00	8.5041130566898193e-01 +I* -3.0388571574620435e+00
24	5.6904286865981957e-01 +I* -3.4557179363607529e+00	5.6904286865981957e-01 +I* 3.4557179363607529e+00
25	8.6652958933541491e-01 +I* -2.9806314950275685e+00	8.6652958933541491e-01 +I* 2.9806314950275685e+00
