 #c	ExpEi_LogXRo_positiveRoot	ExpEi_LogXRo_conjugateRoot 	Re+Im	 

i_root_index== 1 Xsoglia_i_root== 20

1	2.1012154495981572e+00 +I* -3.9139472690219255e+00	2.1012154495981572e+00 +I* 3.9139472690219255e+00	4.2024308991963144e+00 +I* 0.0000000000000000e+00
2	3.3879113597568224e+00 +I* 4.3039101680395686e-01	3.3879113597568224e+00 +I* -4.3039101680395686e-01	6.7758227195136449e+00 +I* 0.0000000000000000e+00
3	3.2870384086879416e+00 +I* -1.3815920249060871e+00	3.2870384086879416e+00 +I* 1.3815920249060871e+00	6.5740768173758832e+00 +I* 0.0000000000000000e+00
4	-6.6553485496264789e-02 +I* -4.4481716307603323e+00	-6.6553485496264789e-02 +I* 4.4481716307603323e+00	-1.3310697099252958e-01 +I* 0.0000000000000000e+00
5	1.7587387755096511e+00 +I* -4.1923643302643141e+00	1.7587387755096511e+00 +I* 4.1923643302643141e+00	3.5174775510193022e+00 +I* 0.0000000000000000e+00
6	3.2739620407746899e+00 +I* -1.4568037199685733e+00	3.2739620407746899e+00 +I* 1.4568037199685733e+00	6.5479240815493798e+00 +I* 0.0000000000000000e+00
7	-4.1774746282346453e-02 +I* -4.4587070675787244e+00	-4.1774746282346453e-02 +I* 4.4587070675787244e+00	-8.3549492564692907e-02 +I* 0.0000000000000000e+00
8	1.3125139312581227e+00 +I* -4.4324088117861917e+00	1.3125139312581227e+00 +I* 4.4324088117861917e+00	2.6250278625162453e+00 +I* 0.0000000000000000e+00
9	3.1513388223127139e+00 +I* -2.0065078634018629e+00	3.1513388223127139e+00 +I* 2.0065078634018629e+00	6.3026776446254278e+00 +I* 0.0000000000000000e+00
10	2.0293493395073905e+00 +I* -3.9802854101591087e+00	2.0293493395073905e+00 +I* 3.9802854101591087e+00	4.0586986790147810e+00 +I* 0.0000000000000000e+00
11	2.1494725331531366e+00 +I* 3.8667714166346241e+00	2.1494725331531366e+00 +I* -3.8667714166346241e+00	4.2989450663062732e+00 +I* 0.0000000000000000e+00
12	3.2481559520240917e+00 +I* -1.5929154337346652e+00	3.2481559520240917e+00 +I* 1.5929154337346652e+00	6.4963119040481834e+00 +I* 0.0000000000000000e+00
13	1.7705970214577946e+00 +I* 4.1842190383151721e+00	1.7705970214577946e+00 +I* -4.1842190383151721e+00	3.5411940429155893e+00 +I* 0.0000000000000000e+00
14	3.3979961442001549e+00 +I* 6.9898807533150031e-02	3.3979961442001549e+00 +I* -6.9898807533150031e-02	6.7959922884003099e+00 +I* 0.0000000000000000e+00
15	3.3590419305777792e+00 +I* 8.3251785844549731e-01	3.3590419305777792e+00 +I* -8.3251785844549731e-01	6.7180838611555584e+00 +I* 0.0000000000000000e+00
16	3.3923916342758198e+00 +I* -3.2450908715609200e-01	3.3923916342758198e+00 +I* 3.2450908715609200e-01	6.7847832685516396e+00 +I* 0.0000000000000000e+00
17	2.9008659788336240e+00 +I* 2.7287621638283164e+00	2.9008659788336240e+00 +I* -2.7287621638283164e+00	5.8017319576672479e+00 +I* 0.0000000000000000e+00
18	1.1303207305214262e+00 +I* 4.4963716883376597e+00	1.1303207305214262e+00 +I* -4.4963716883376597e+00	2.2606414610428525e+00 +I* 0.0000000000000000e+00
19	3.2205723467987122e+00 +I* 1.7240292004403850e+00	3.2205723467987122e+00 +I* -1.7240292004403850e+00	6.4411446935974244e+00 +I* 0.0000000000000000e+00
20	2.4686824907238361e+00 +I* -3.4924057111083391e+00	2.4686824907238361e+00 +I* 3.4924057111083391e+00	4.9373649814476721e+00 +I* 0.0000000000000000e+00
21	2.8078982709968585e+00 +I* -2.9291579136640684e+00	2.8078982709968585e+00 +I* 2.9291579136640684e+00	5.6157965419937170e+00 +I* 0.0000000000000000e+00
22	1.2391937030750870e-01 +I* -4.5164263782708574e+00	1.2391937030750870e-01 +I* 4.5164263782708574e+00	2.4783874061501740e-01 +I* 0.0000000000000000e+00
23	7.3921585377717658e-01 +I* 4.5721765582157969e+00	7.3921585377717658e-01 +I* -4.5721765582157969e+00	1.4784317075543532e+00 +I* 0.0000000000000000e+00
24	1.5643338119195647e+00 +I* -4.3123187729369103e+00	1.5643338119195647e+00 +I* 4.3123187729369103e+00	3.1286676238391293e+00 +I* 0.0000000000000000e+00
25	1.3061748293941338e+00 +I* 4.4349491185387473e+00	1.3061748293941338e+00 +I* -4.4349491185387473e+00	2.6123496587882675e+00 +I* 0.0000000000000000e+00
26	3.2056232639392488e+00 +I* 1.7900553746086723e+00	3.2056232639392488e+00 +I* -1.7900553746086723e+00	6.4112465278784976e+00 +I* 0.0000000000000000e+00
27	3.0725426681943886e+00 +I* 2.2725630695877945e+00	3.0725426681943886e+00 +I* -2.2725630695877945e+00	6.1450853363887772e+00 +I* 0.0000000000000000e+00
28	1.8238440208318134e+00 +I* -4.1464085341294901e+00	1.8238440208318134e+00 +I* 4.1464085341294901e+00	3.6476880416636268e+00 +I* 0.0000000000000000e+00
29	3.1075538700020218e+00 +I* 2.1601673821946106e+00	3.1075538700020218e+00 +I* -2.1601673821946106e+00	6.2151077400040435e+00 +I* 0.0000000000000000e+00
30	1.6617982611423194e+00 +I* 4.2553146327709452e+00	1.6617982611423194e+00 +I* -4.2553146327709452e+00	3.3235965222846389e+00 +I* 0.0000000000000000e+00
31	2.4462042783184854e-01 +I* 4.5458403021092399e+00	2.4462042783184854e-01 +I* -4.5458403021092399e+00	4.8924085566369707e-01 +I* 0.0000000000000000e+00
32	1.9634736762230405e+00 +I* 4.0371990112234961e+00	1.9634736762230405e+00 +I* -4.0371990112234961e+00	3.9269473524460810e+00 +I* 0.0000000000000000e+00
