 #c	ExpEi_LogXRo_positiveRoot	ExpEi_LogXRo_conjugateRoot 	Re+Im	 

i_root_index== 3 Xsoglia_i_root== 2.71442

1	9.7953620371218941e-01 +I* 2.9874180078944441e+00	9.7953620371218941e-01 +I* -2.9874180078944441e+00	1.9590724074243788e+00 +I* 0.0000000000000000e+00
2	7.2235334643398952e-01 +I* 3.4282236750002508e+00	7.2235334643398952e-01 +I* -3.4282236750002508e+00	1.4447066928679790e+00 +I* 0.0000000000000000e+00
3	5.9400576549946216e-01 +I* -5.0932756728851736e-01	5.9400576549946216e-01 +I* 5.0932756728851736e-01	1.1880115309989243e+00 +I* 0.0000000000000000e+00
4	1.0301172808643686e+00 +I* -2.3758256941535851e+00	1.0301172808643686e+00 +I* 2.3758256941535851e+00	2.0602345617287372e+00 +I* 0.0000000000000000e+00
5	9.9965229321642013e-01 +I* 2.9114170878938652e+00	9.9965229321642013e-01 +I* -2.9114170878938652e+00	1.9993045864328403e+00 +I* 0.0000000000000000e+00
6	5.9825511028833367e-01 +I* -5.3713142107269429e-01	5.9825511028833367e-01 +I* 5.3713142107269429e-01	1.1965102205766673e+00 +I* 0.0000000000000000e+00
7	1.6949810624187847e-01 +I* -3.6284296253079509e+00	1.6949810624187847e-01 +I* 3.6284296253079509e+00	3.3899621248375694e-01 +I* 0.0000000000000000e+00
8	9.3838242053720955e-01 +I* -1.8628377768387394e+00	9.3838242053720955e-01 +I* 1.8628377768387394e+00	1.8767648410744191e+00 +I* 0.0000000000000000e+00
9	6.1897071341250431e-01 +I* -3.5130354942869890e+00	6.1897071341250431e-01 +I* 3.5130354942869890e+00	1.2379414268250086e+00 +I* 0.0000000000000000e+00
10	8.5549688258490697e-01 +I* -1.5602027908376606e+00	8.5549688258490697e-01 +I* 1.5602027908376606e+00	1.7109937651698139e+00 +I* 0.0000000000000000e+00
11	4.4420238768729625e-01 +I* 3.6009358704422660e+00	4.4420238768729625e-01 +I* -3.6009358704422660e+00	8.8840477537459250e-01 +I* 0.0000000000000000e+00
12	6.0647551850448256e-01 +I* -5.8750780767314204e-01	6.0647551850448256e-01 +I* 5.8750780767314204e-01	1.2129510370089651e+00 +I* 0.0000000000000000e+00
13	3.9508788582587451e-01 +I* 3.6153265453182359e+00	3.9508788582587451e-01 +I* -3.6153265453182359e+00	7.9017577165174901e-01 +I* 0.0000000000000000e+00
14	7.5206178241867505e-01 +I* -3.3979389959874946e+00	7.5206178241867505e-01 +I* 3.3979389959874946e+00	1.5041235648373501e+00 +I* 0.0000000000000000e+00
15	6.9766865767753272e-01 +I* 3.4511965621192964e+00	6.9766865767753272e-01 +I* -3.4511965621192964e+00	1.3953373153550654e+00 +I* 0.0000000000000000e+00
16	7.2872218885883677e-01 +I* -3.4219836356188060e+00	7.2872218885883677e-01 +I* 3.4219836356188060e+00	1.4574443777176735e+00 +I* 0.0000000000000000e+00
17	7.0017470505352319e-01 +I* 1.0156670883573882e+00	7.0017470505352319e-01 +I* -1.0156670883573882e+00	1.4003494101070464e+00 +I* 0.0000000000000000e+00
18	3.1731033208461445e-01 +I* 3.6296693834709735e+00	3.1731033208461445e-01 +I* -3.6296693834709735e+00	6.3462066416922891e-01 +I* 0.0000000000000000e+00
19	6.1502999980894923e-01 +I* 6.3612624544913110e-01	6.1502999980894923e-01 +I* -6.3612624544913110e-01	1.2300599996178985e+00 +I* 0.0000000000000000e+00
20	9.5156521987284393e-01 +I* 3.0702997522574864e+00	9.5156521987284393e-01 +I* -3.0702997522574864e+00	1.9031304397456879e+00 +I* 0.0000000000000000e+00
21	5.4496978144306618e-01 +I* -3.5577292821806608e+00	5.4496978144306618e-01 +I* 3.5577292821806608e+00	1.0899395628861324e+00 +I* 0.0000000000000000e+00
22	1.0367914992315947e+00 +I* 2.4824906578569190e+00	1.0367914992315947e+00 +I* -2.4824906578569190e+00	2.0735829984631895e+00 +I* 0.0000000000000000e+00
23	2.7035368579118618e-01 +I* 3.6333792520008639e+00	2.7035368579118618e-01 +I* -3.6333792520008639e+00	5.4070737158237236e-01 +I* 0.0000000000000000e+00
24	9.1251934728406614e-01 +I* -1.7632937222099889e+00	9.1251934728406614e-01 +I* 1.7632937222099889e+00	1.8250386945681323e+00 +I* 0.0000000000000000e+00
25	9.3899341639415301e-01 +I* 1.8652784640161215e+00	9.3899341639415301e-01 +I* -1.8652784640161215e+00	1.8779868327883060e+00 +I* 0.0000000000000000e+00
26	8.5037230359981841e-01 +I* -3.2716431516105797e+00	8.5037230359981841e-01 +I* 3.2716431516105797e+00	1.7007446071996368e+00 +I* 0.0000000000000000e+00
27	6.5733575777697628e-01 +I* 8.4119886001143507e-01	6.5733575777697628e-01 +I* -8.4119886001143507e-01	1.3146715155539526e+00 +I* 0.0000000000000000e+00
28	9.9619499864847949e-01 +I* 2.9259064029026103e+00	9.9619499864847949e-01 +I* -2.9259064029026103e+00	1.9923899972969590e+00 +I* 0.0000000000000000e+00
29	8.7156113753129472e-01 +I* -3.2374666148109852e+00	8.7156113753129472e-01 +I* 3.2374666148109852e+00	1.7431222750625894e+00 +I* 0.0000000000000000e+00
30	9.0162802783268270e-01 +I* 1.7231421762974943e+00	9.0162802783268270e-01 +I* -1.7231421762974943e+00	1.8032560556653654e+00 +I* 0.0000000000000000e+00
31	2.0847247091213938e-01 +I* 3.6324882465941477e+00	2.0847247091213938e-01 +I* -3.6324882465941477e+00	4.1694494182427877e-01 +I* 0.0000000000000000e+00
32	9.8821785420396624e-01 +I* -2.9568760920378723e+00	9.8821785420396624e-01 +I* 2.9568760920378723e+00	1.9764357084079325e+00 +I* 0.0000000000000000e+00
33	6.1702633772956572e-01 +I* 6.4700881443795588e-01	6.1702633772956572e-01 +I* -6.4700881443795588e-01	1.2340526754591314e+00 +I* 0.0000000000000000e+00
34	6.7712823542054756e-01 +I* -3.4689305607242678e+00	6.7712823542054756e-01 +I* 3.4689305607242678e+00	1.3542564708410951e+00 +I* 0.0000000000000000e+00
35	1.0186036000616769e+00 +I* -2.8142457142868826e+00	1.0186036000616769e+00 +I* 2.8142457142868826e+00	2.0372072001233539e+00 +I* 0.0000000000000000e+00
36	1.0329871913244422e+00 +I* 2.4122519062443297e+00	1.0329871913244422e+00 +I* -2.4122519062443297e+00	2.0659743826488843e+00 +I* 0.0000000000000000e+00
37	2.5340671457933794e-01 +I* 3.6337963154748043e+00	2.5340671457933794e-01 +I* -3.6337963154748043e+00	5.0681342915867589e-01 +I* 0.0000000000000000e+00
38	9.5656017287794526e-01 +I* -1.9377599597086688e+00	9.5656017287794526e-01 +I* 1.9377599597086688e+00	1.9131203457558905e+00 +I* 0.0000000000000000e+00
39	8.8180745549493955e-01 +I* 3.2197576626252413e+00	8.8180745549493955e-01 +I* -3.2197576626252413e+00	1.7636149109898791e+00 +I* 0.0000000000000000e+00
40	2.9369589967295751e-01 +I* -3.6320020169059455e+00	2.9369589967295751e-01 +I* 3.6320020169059455e+00	5.8739179934591501e-01 +I* 0.0000000000000000e+00
41	9.6896350569178302e-01 +I* -3.0211359384656165e+00	9.6896350569178302e-01 +I* 3.0211359384656165e+00	1.9379270113835660e+00 +I* 0.0000000000000000e+00
42	9.3926545372189729e-01 +I* 3.1013810411422549e+00	9.3926545372189729e-01 +I* -3.1013810411422549e+00	1.8785309074437946e+00 +I* 0.0000000000000000e+00
43	4.8932934408182793e-01 +I* -3.5839386560232782e+00	4.8932934408182793e-01 +I* 3.5839386560232782e+00	9.7865868816365587e-01 +I* 0.0000000000000000e+00
44	1.0314310083799116e+00 +I* -2.3915769289799540e+00	1.0314310083799116e+00 +I* 2.3915769289799540e+00	2.0628620167598233e+00 +I* 0.0000000000000000e+00
45	1.0220229960743197e+00 +I* 2.7915975051961541e+00	1.0220229960743197e+00 +I* -2.7915975051961541e+00	2.0440459921486394e+00 +I* 0.0000000000000000e+00
46	4.5065610753673141e-01 +I* 3.5987302538211114e+00	4.5065610753673141e-01 +I* -3.5987302538211114e+00	9.0131221507346282e-01 +I* 0.0000000000000000e+00
47	6.8513222633681026e-01 +I* -9.5688246019166767e-01	6.8513222633681026e-01 +I* 9.5688246019166767e-01	1.3702644526736205e+00 +I* 0.0000000000000000e+00
48	1.0296028634903596e+00 +I* 2.7295324542917601e+00	1.0296028634903596e+00 +I* -2.7295324542917601e+00	2.0592057269807191e+00 +I* 0.0000000000000000e+00
49	4.0711632074348941e-01 +I* 3.6121894444813547e+00	4.0711632074348941e-01 +I* -3.6121894444813547e+00	8.1423264148697883e-01 +I* 0.0000000000000000e+00
50	9.6218996684791158e-01 +I* -3.0411034863406252e+00	9.6218996684791158e-01 +I* 3.0411034863406252e+00	1.9243799336958232e+00 +I* 0.0000000000000000e+00
51	1.0325372471118790e+00 +I* 2.6974678483366938e+00	1.0325372471118790e+00 +I* -2.6974678483366938e+00	2.0650744942237580e+00 +I* 0.0000000000000000e+00
52	4.0313875905301172e-01 +I* 3.6132543768729337e+00	4.0313875905301172e-01 +I* -3.6132543768729337e+00	8.0627751810602344e-01 +I* 0.0000000000000000e+00
53	1.0173049949310347e+00 +I* -2.2604933391317377e+00	1.0173049949310347e+00 +I* 2.2604933391317377e+00	2.0346099898620693e+00 +I* 0.0000000000000000e+00
54	5.6737088278996994e-01 +I* -2.8257109742060038e-01	5.6737088278996994e-01 +I* 2.8257109742060038e-01	1.1347417655799399e+00 +I* 0.0000000000000000e+00
55	7.9094150429309973e-01 +I* 3.3533444705449198e+00	7.9094150429309973e-01 +I* -3.3533444705449198e+00	1.5818830085861995e+00 +I* 0.0000000000000000e+00
56	1.0379444586498645e+00 +I* -2.5845792217801371e+00	1.0379444586498645e+00 +I* 2.5845792217801371e+00	2.0758889172997290e+00 +I* 0.0000000000000000e+00
57	6.7404314605821236e-01 +I* 9.1198060810701187e-01	6.7404314605821236e-01 +I* -9.1198060810701187e-01	1.3480862921164247e+00 +I* 0.0000000000000000e+00
58	9.8063938921274507e-01 +I* 2.9836940122710387e+00	9.8063938921274507e-01 +I* -2.9836940122710387e+00	1.9612787784254901e+00 +I* 0.0000000000000000e+00
