 #c	LogXsogliaToRo_positiveRoot	LogXsogliaToRo_conjugateRoot

1	3.8376418216567421e-01 +I* -1.8209735137202920e+00	3.8376418216567421e-01 +I* 1.8209735137202920e+00
2	3.8376418216567437e-01 +I* -2.7314602705804392e+00	3.8376418216567437e-01 +I* 2.7314602705804392e+00
3	3.8376418216567421e-01 +I* 3.3865318674495554e-01	3.8376418216567421e-01 +I* -3.3865318674495554e-01
4	3.8376418216567437e-01 +I* -2.1068902987778850e+00	3.8376418216567437e-01 +I* 2.1068902987778850e+00
5	3.8376418216567437e-01 +I* -5.7183357011518965e-01	3.8376418216567437e-01 +I* 5.7183357011518965e-01
6	3.8376418216567421e-01 +I* -3.0173770556380335e+00	3.8376418216567421e-01 +I* 3.0173770556380335e+00
7	3.8376418216567421e-01 +I* -7.1479196264398703e-01	3.8376418216567421e-01 +I* 7.1479196264398703e-01
8	3.8376418216567421e-01 +I* 1.5877931303500561e+00	3.8376418216567421e-01 +I* -1.5877931303500561e+00
9	3.8376418216567437e-01 +I* -8.5775035517278442e-01	3.8376418216567437e-01 +I* 8.5775035517278442e-01
10	3.8376418216567437e-01 +I* -9.0221990841436686e-02	3.8376418216567437e-01 +I* 9.0221990841436686e-02
11	3.8376418216567437e-01 +I* 2.2123631021526062e+00	3.8376418216567437e-01 +I* -2.2123631021526062e+00
12	3.8376418216567437e-01 +I* -1.0007087477015819e+00	3.8376418216567437e-01 +I* 1.0007087477015819e+00
13	3.8376418216567437e-01 +I* 1.3018763452924613e+00	3.8376418216567437e-01 +I* -1.3018763452924613e+00
14	3.8376418216567421e-01 +I* 2.0694047096238162e+00	3.8376418216567421e-01 +I* -2.0694047096238162e+00
15	3.8376418216567421e-01 +I* -3.7613877589903150e-01	3.8376418216567421e-01 +I* 3.7613877589903150e-01
16	3.8376418216567421e-01 +I* 1.1589179527636639e+00	3.8376418216567421e-01 +I* -1.1589179527636639e+00
17	3.8376418216567437e-01 +I* 2.6939746814263663e+00	3.8376418216567437e-01 +I* -2.6939746814263663e+00
18	3.8376418216567437e-01 +I* -1.2866255327591767e+00	3.8376418216567437e-01 +I* 1.2866255327591767e+00
19	3.8376418216567437e-01 +I* 1.0159595602348668e+00	3.8376418216567437e-01 +I* -1.0159595602348668e+00
20	3.8376418216567437e-01 +I* 2.5510162888975692e+00	3.8376418216567437e-01 +I* -2.5510162888975692e+00
21	3.8376418216567437e-01 +I* -2.1971122896193216e+00	3.8376418216567437e-01 +I* 2.1971122896193216e+00
22	3.8376418216567421e-01 +I* 1.0547280337472142e-01	3.8376418216567421e-01 +I* -1.0547280337472142e-01
