 #c	LogXsogliaToRo_positiveRoot	LogXsogliaToRo_conjugateRoot 	Re+Im	 

i_root_index== 1 Xsoglia_i_root== 20

1	1.4978661367769954e+00 +I* -1.6385201832535061e+00	1.4978661367769954e+00 +I* 1.6385201832535061e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
2	1.4978661367769954e+00 +I* 1.4443078285612396e-01	1.4978661367769954e+00 +I* -1.4443078285612396e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
3	1.4978661367769954e+00 +I* -4.7226336552353426e-01	1.4978661367769954e+00 +I* 4.7226336552353426e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
4	1.4978661367769954e+00 +I* -3.1029247580409809e+00	1.4978661367769954e+00 +I* 3.1029247580409809e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
5	1.4978661367769954e+00 +I* -1.8662229121453502e+00	1.4978661367769954e+00 +I* 1.8662229121453502e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
6	1.4978661367769954e+00 +I* -4.9914314897755657e-01	1.4978661367769954e+00 +I* 4.9914314897755657e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
7	1.4978661367769956e+00 +I* -3.0822359617180459e+00	1.4978661367769956e+00 +I* 3.0822359617180459e+00	2.9957322735539913e+00 +I* 0.0000000000000000e+00
8	1.4978661367769954e+00 +I* -2.1504996612702008e+00	1.4978661367769954e+00 +I* 2.1504996612702008e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
9	1.4978661367769954e+00 +I* -7.0253512671645379e-01	1.4978661367769954e+00 +I* 7.0253512671645379e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
10	1.4978661367769954e+00 +I* -1.6874683348884276e+00	1.4978661367769954e+00 +I* 1.6874683348884276e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
11	1.4978661367769954e+00 +I* 1.6052045703472979e+00	1.4978661367769954e+00 +I* -1.6052045703472979e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
12	1.4978661367769954e+00 +I* -5.4830023436555508e-01	1.4978661367769954e+00 +I* 5.4830023436555508e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
13	1.4978661367769952e+00 +I* 1.8585346375802703e+00	1.4978661367769952e+00 +I* -1.8585346375802703e+00	2.9957322735539904e+00 +I* 0.0000000000000000e+00
14	1.4978661367769954e+00 +I* 2.3412610173664920e-02	1.4978661367769954e+00 +I* -2.3412610173664920e-02	2.9957322735539909e+00 +I* 0.0000000000000000e+00
15	1.4978661367769954e+00 +I* 2.8087313921703538e-01	1.4978661367769954e+00 +I* -2.8087313921703538e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
16	1.4978661367769954e+00 +I* -1.0880806619975021e-01	1.4978661367769954e+00 +I* 1.0880806619975021e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
17	1.4978661367769954e+00 +I* 9.9727985256893614e-01	1.4978661367769954e+00 +I* -9.9727985256893614e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
18	1.4978661367769954e+00 +I* 2.2657364605642329e+00	1.4978661367769954e+00 +I* -2.2657364605642329e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
19	1.4978661367769954e+00 +I* 5.9634199125769349e-01	1.4978661367769954e+00 +I* -5.9634199125769349e-01	2.9957322735539909e+00 +I* 0.0000000000000000e+00
20	1.4978661367769954e+00 +I* -1.3726892687767835e+00	1.4978661367769954e+00 +I* 1.3726892687767835e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
21	1.4978661367769954e+00 +I* -1.0874319929618772e+00	1.4978661367769954e+00 +I* 1.0874319929618772e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
22	1.4978661367769954e+00 +I* -2.9500511939126666e+00	1.4978661367769954e+00 +I* 2.9500511939126666e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
23	1.4978661367769954e+00 +I* 2.5174597785507347e+00	1.4978661367769954e+00 +I* -2.5174597785507347e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
24	1.4978661367769954e+00 +I* -1.9909901664029195e+00	1.4978661367769954e+00 +I* 1.9909901664029195e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
25	1.4978661367769954e+00 +I* 2.1545041537410761e+00	1.4978661367769954e+00 +I* -2.1545041537410761e+00	2.9957322735539909e+00 +I* 0.0000000000000000e+00
