 #c	LogXsogliaToRo_positiveRoot	LogXsogliaToRo_conjugateRoot 	Re+Im	 

i_root_index== 2 Xsoglia_i_root== 4.47214

1	7.4893306838849771e-01 +I* 2.3223325619630399e+00	7.4893306838849771e-01 +I* -2.3223325619630399e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
2	7.4893306838849749e-01 +I* 7.2215391428069098e-02	7.4893306838849749e-01 +I* -7.2215391428069098e-02	1.4978661367769950e+00 +I* 0.0000000000000000e+00
3	7.4893306838849771e-01 +I* -2.3613168276176000e-01	7.4893306838849771e-01 +I* 2.3613168276176000e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
4	7.4893306838849749e-01 +I* 1.5901302745693098e+00	7.4893306838849749e-01 +I* -1.5901302745693098e+00	1.4978661367769950e+00 +I* 0.0000000000000000e+00
5	7.4893306838849771e-01 +I* -9.3311145607266799e-01	7.4893306838849771e-01 +I* 9.3311145607266799e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
6	7.4893306838849771e-01 +I* -2.4957157448876410e-01	7.4893306838849771e-01 +I* 2.4957157448876410e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
7	7.4893306838849771e-01 +I* -1.5411179808590088e+00	7.4893306838849771e-01 +I* 1.5411179808590088e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
8	7.4893306838849771e-01 +I* 2.0663428229547067e+00	7.4893306838849771e-01 +I* -2.0663428229547067e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
9	7.4893306838849771e-01 +I* 2.7903250902315806e+00	7.4893306838849771e-01 +I* -2.7903250902315806e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
10	7.4893306838849771e-01 +I* -8.4373416744421381e-01	7.4893306838849771e-01 +I* 8.4373416744421381e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
11	7.4893306838849771e-01 +I* -2.3389903684161300e+00	7.4893306838849771e-01 +I* 2.3389903684161300e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
12	7.4893306838849771e-01 +I* 2.8674425364070295e+00	7.4893306838849771e-01 +I* -2.8674425364070295e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
13	7.4893306838849771e-01 +I* 9.2926731879014934e-01	7.4893306838849771e-01 +I* -9.2926731879014934e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
14	7.4893306838849771e-01 +I* -3.1298863485029464e+00	7.4893306838849771e-01 +I* 3.1298863485029464e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
15	7.4893306838849771e-01 +I* -3.0011560839812614e+00	7.4893306838849771e-01 +I* 3.0011560839812614e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
16	7.4893306838849771e-01 +I* -5.4404033099860895e-02	7.4893306838849771e-01 +I* 5.4404033099860895e-02	1.4978661367769954e+00 +I* 0.0000000000000000e+00
17	7.4893306838849771e-01 +I* -2.6429527273053108e+00	7.4893306838849771e-01 +I* 2.6429527273053108e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
18	7.4893306838849771e-01 +I* 1.1328682302821309e+00	7.4893306838849771e-01 +I* -1.1328682302821309e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
19	7.4893306838849771e-01 +I* 2.9817099562887522e-01	7.4893306838849771e-01 +I* -2.9817099562887522e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
20	7.4893306838849771e-01 +I* 2.4552480192014157e+00	7.4893306838849771e-01 +I* -2.4552480192014157e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
21	7.4893306838849771e-01 +I* -5.4371599648092439e-01	7.4893306838849771e-01 +I* 5.4371599648092439e-01	1.4978661367769954e+00 +I* 0.0000000000000000e+00
22	7.4893306838849771e-01 +I* -1.4750255969563191e+00	7.4893306838849771e-01 +I* 1.4750255969563191e+00	1.4978661367769954e+00 +I* 0.0000000000000000e+00
